,Year,Month,Mexican Policy Uncertainty Index
0,1996,1.0,200.40365600585938
1,1996,2.0,121.81696319580078
2,1996,3.0,174.65145874023438
3,1996,4.0,103.5821304321289
4,1996,5.0,125.61516571044922
5,1996,6.0,94.26124572753906
6,1996,7.0,152.31373596191406
7,1996,8.0,60.999881744384766
8,1996,9.0,116.92176055908203
9,1996,10.0,156.24203491210938
10,1996,11.0,113.20693969726562
11,1996,12.0,148.79132080078125
12,1997,1.0,134.02952575683594
13,1997,2.0,122.48234558105469
14,1997,3.0,121.92789459228516
15,1997,4.0,134.974365234375
16,1997,5.0,140.78944396972656
17,1997,6.0,161.4367218017578
18,1997,7.0,99.96890258789062
19,1997,8.0,125.02439880371094
20,1997,9.0,108.4222640991211
21,1997,10.0,117.74491119384766
22,1997,11.0,136.4918212890625
23,1997,12.0,178.80075073242188
24,1998,1.0,121.22560119628906
25,1998,2.0,131.54298400878906
26,1998,3.0,231.2356719970703
27,1998,4.0,163.48179626464844
28,1998,5.0,197.58416748046875
29,1998,6.0,216.0543212890625
30,1998,7.0,232.26490783691406
31,1998,8.0,258.4811096191406
32,1998,9.0,428.160888671875
33,1998,10.0,235.4998321533203
34,1998,11.0,241.9322052001953
35,1998,12.0,262.0566101074219
36,1999,1.0,250.44802856445312
37,1999,2.0,118.9597396850586
38,1999,3.0,103.17930603027344
39,1999,4.0,146.26162719726562
40,1999,5.0,98.19577026367188
41,1999,6.0,138.15170288085938
42,1999,7.0,119.38518524169922
43,1999,8.0,170.2494659423828
44,1999,9.0,250.08889770507812
45,1999,10.0,154.56625366210938
46,1999,11.0,125.08417510986328
47,1999,12.0,160.1713104248047
48,2000,1.0,161.02012634277344
49,2000,2.0,157.84092712402344
50,2000,3.0,90.80582427978516
51,2000,4.0,93.594482421875
52,2000,5.0,136.35006713867188
53,2000,6.0,216.03892517089844
54,2000,7.0,125.404296875
55,2000,8.0,89.63743591308594
56,2000,9.0,89.9356460571289
57,2000,10.0,117.68753051757812
58,2000,11.0,172.75148010253906
59,2000,12.0,95.66204833984375
60,2001,1.0,161.43063354492188
61,2001,2.0,92.3622817993164
62,2001,3.0,93.74990844726562
63,2001,4.0,113.5833969116211
64,2001,5.0,153.3451690673828
65,2001,6.0,86.54521942138672
66,2001,7.0,88.25765228271484
67,2001,8.0,105.16072845458984
68,2001,9.0,333.24822998046875
69,2001,10.0,328.6723327636719
70,2001,11.0,198.32179260253906
71,2001,12.0,231.9838409423828
72,2002,1.0,225.66810607910156
73,2002,2.0,119.25466918945312
74,2002,3.0,109.82916259765625
75,2002,4.0,107.71404266357422
76,2002,5.0,110.9115982055664
77,2002,6.0,113.86771392822266
78,2002,7.0,184.6908416748047
79,2002,8.0,215.44583129882812
80,2002,9.0,208.54937744140625
81,2002,10.0,177.29066467285156
