,year,month,China News-Based EPU
0,1995,1.0,192.9119110107422
1,1995,2.0,193.98785400390625
2,1995,3.0,88.22703552246094
3,1995,4.0,131.0347137451172
4,1995,5.0,177.09686279296875
5,1995,6.0,79.09623718261719
6,1995,7.0,61.732688903808594
7,1995,8.0,52.983123779296875
8,1995,9.0,76.82008361816406
9,1995,10.0,153.8712921142578
10,1995,11.0,100.0615005493164
11,1995,12.0,143.11668395996094
12,1996,1.0,128.42945861816406
13,1996,2.0,111.15818786621094
14,1996,3.0,69.440673828125
15,1996,4.0,63.35744094848633
16,1996,5.0,84.1733627319336
17,1996,6.0,36.838809967041016
18,1996,7.0,47.684810638427734
19,1996,8.0,55.95354461669922
20,1996,9.0,51.04103088378906
21,1996,10.0,53.6197624206543
22,1996,11.0,85.29986572265625
23,1996,12.0,69.18518829345703
24,1997,1.0,88.3237075805664
25,1997,2.0,115.34867858886719
26,1997,3.0,59.410587310791016
27,1997,4.0,123.27134704589844
28,1997,5.0,20.579830169677734
29,1997,6.0,62.72386932373047
30,1997,7.0,42.59028244018555
31,1997,8.0,27.126089096069336
32,1997,9.0,70.8626708984375
33,1997,10.0,83.15766143798828
34,1997,11.0,69.05574798583984
35,1997,12.0,20.722469329833984
36,1998,1.0,77.7058334350586
37,1998,2.0,98.68479919433594
38,1998,3.0,64.92120361328125
39,1998,4.0,19.439777374267578
40,1998,5.0,41.80421829223633
41,1998,6.0,68.2985610961914
42,1998,7.0,100.43605041503906
43,1998,8.0,38.225399017333984
44,1998,9.0,74.32969665527344
45,1998,10.0,128.11868286132812
46,1998,11.0,51.11582565307617
47,1998,12.0,69.6688232421875
48,1999,1.0,123.6696548461914
49,1999,2.0,98.32405090332031
50,1999,3.0,82.27812957763672
51,1999,4.0,16.56603240966797
52,1999,5.0,116.03939056396484
53,1999,6.0,101.52250671386719
54,1999,7.0,66.9092025756836
55,1999,8.0,39.80082321166992
56,1999,9.0,102.30252838134766
57,1999,10.0,78.27619934082031
58,1999,11.0,62.016963958740234
59,1999,12.0,36.9937858581543
60,2000,1.0,44.00444030761719
61,2000,2.0,9.0667085647583
62,2000,3.0,44.39913558959961
63,2000,4.0,35.44141387939453
64,2000,5.0,71.13580322265625
65,2000,6.0,36.85697555541992
66,2000,7.0,18.607404708862305
67,2000,8.0,27.140865325927734
68,2000,9.0,58.010047912597656
69,2000,10.0,70.60662841796875
70,2000,11.0,140.3679656982422
71,2000,12.0,112.6115951538086
72,2001,1.0,97.32544708251953
73,2001,2.0,65.1502456665039
74,2001,3.0,114.62845611572266
75,2001,4.0,107.18360137939453
76,2001,5.0,95.76116943359375
77,2001,6.0,54.47955322265625
78,2001,7.0,118.17539978027344
79,2001,8.0,131.47923278808594
80,2001,9.0,202.87771606445312
81,2001,10.0,297.2353515625
82,2001,11.0,128.78350830078125
83,2001,12.0,136.84719848632812
84,2002,1.0,159.89443969726562
85,2002,2.0,163.70115661621094
86,2002,3.0,140.20535278320312
87,2002,4.0,117.48548126220703
88,2002,5.0,33.760589599609375
89,2002,6.0,116.77750396728516
90,2002,7.0,88.06827545166016
91,2002,8.0,140.53097534179688
92,2002,9.0,188.888671875
93,2002,10.0,147.99453735351562
94,2002,11.0,109.75909423828125
95,2002,12.0,85.2096939086914
96,2003,1.0,141.76565551757812
97,2003,2.0,88.5965347290039
98,2003,3.0,184.7860107421875
99,2003,4.0,124.31019592285156
100,2003,5.0,102.0359115600586
