,year,month,Brazil News-Based EPU
0,1991,1.0,111.85437774658203
1,1991,2.0,146.82421875
2,1991,3.0,124.65119934082031
3,1991,4.0,153.10768127441406
4,1991,5.0,119.10420227050781
5,1991,6.0,63.612857818603516
6,1991,7.0,86.6436767578125
7,1991,8.0,68.60401916503906
8,1991,9.0,79.24053955078125
9,1991,10.0,136.5848846435547
10,1991,11.0,143.63328552246094
11,1991,12.0,59.7756233215332
12,1992,1.0,67.27913665771484
13,1992,2.0,76.46195983886719
14,1992,3.0,12.843494415283203
15,1992,4.0,34.6215934753418
16,1992,5.0,16.701353073120117
17,1992,6.0,81.78667449951172
18,1992,7.0,107.31517791748047
19,1992,8.0,89.90445709228516
20,1992,9.0,126.91127014160156
21,1992,10.0,82.98873138427734
22,1992,11.0,135.09637451171875
23,1992,12.0,125.3481674194336
24,1993,1.0,128.73155212402344
25,1993,2.0,78.50811767578125
26,1993,3.0,123.47637939453125
27,1993,4.0,76.80233001708984
28,1993,5.0,113.68843078613281
29,1993,6.0,56.74964904785156
30,1993,7.0,75.42728424072266
31,1993,8.0,91.92247009277344
32,1993,9.0,91.64659118652344
33,1993,10.0,99.8342056274414
34,1993,11.0,36.05482864379883
35,1993,12.0,143.66175842285156
36,1994,1.0,104.131103515625
37,1994,2.0,158.2762451171875
38,1994,3.0,107.24805450439453
39,1994,4.0,110.32313537597656
40,1994,5.0,122.6108169555664
41,1994,6.0,113.00463104248047
42,1994,7.0,75.2164535522461
43,1994,8.0,63.97792434692383
44,1994,9.0,39.36957931518555
45,1994,10.0,47.87550354003906
46,1994,11.0,40.91065216064453
47,1994,12.0,41.50466537475586
48,1995,1.0,58.10653305053711
49,1995,2.0,60.68673324584961
50,1995,3.0,47.97483825683594
51,1995,4.0,65.0670394897461
52,1995,5.0,12.689986228942871
53,1995,6.0,24.82884979248047
54,1995,7.0,46.042964935302734
55,1995,8.0,41.37702560424805
56,1995,9.0,39.50910568237305
57,1995,10.0,39.8148307800293
