,Year,Month,GEPU_current,GEPU_ppp,Australia,Brazil,Canada,Chile,China,Colombia,France,Germany,Greece,India,Ireland,Italy,Japan,Korea,Mexico,Netherlands,Russia,Spain,Singapore,UK,US,SCMP China,Mainland China,Sweden
0,1985,1.0,,,,,106.9259262084961,,,,,,,,58.7773687861256,,,,,,,,,,103.7488021850586,,,126.4307365
1,1985,2.0,,,,,114.69937896728516,,,,,,,,57.3723783429961,,,,,,,,,,78.31320190429688,,,98.60890444
2,1985,3.0,,,,,79.58830261230469,,,,,,,,55.9673878998667,,,,,,,,,,100.76148223876953,,,112.8506256
3,1985,4.0,,,,,73.37599182128906,,,,,,,,152.20643851135,,,,,,,,,,84.77886962890625,,,111.1405983
4,1985,5.0,,,,,75.60223388671875,,,,,,,,179.654706743919,,,,,,,,,,98.05365753173828,,,130.9460701
5,1985,6.0,,,,,43.1403694152832,,,,,,,,84.9467703205666,,,,,,,,,,119.5971450805664,,,103.2694615
6,1985,7.0,,,,,73.39828491210938,,,,,,,,112.171143281955,,,,,,,,,,111.41510772705078,,,141.3506939
7,1985,8.0,,,,,91.57682037353516,,,,,,,,122.132598454861,,,,,,,,,,111.24700927734375,,,139.7367665
8,1985,9.0,,,,,80.4455795288086,,,,,,,,60.2951725771407,,,,,,,,,,111.18446350097656,,,123.322968
9,1985,10.0,,,,,92.56246185302734,,,,,,,,83.1682196414946,,,,,,,,,,93.09910583496094,,,103.2457678
10,1985,11.0,,,,,57.912479400634766,,,,,,,,106.041266705848,,,,,,,,,,85.09912872314453,,,115.4347259
11,1985,12.0,,,,,65.7647933959961,,,,,,,,179.991688404781,,,,,,,,,,104.17721557617188,,,105.0577358
12,1986,1.0,,,,,91.10531616210938,,,,,,,,117.831797122886,,,,,,,,,,144.2664794921875,,,110.8499388
13,1986,2.0,,,,,96.96870422363281,,,,,,,,63.3607240679421,,,,,,,,,,118.99353790283203,,,116.8797744
14,1986,3.0,,,,,86.90678405761719,,,,,,,,107.871652829975,,,,,,,,,,120.16004943847656,,,101.0462956
15,1986,4.0,,,,,69.22338104248047,,,,,,,,116.22053229145,,,,,,,,,,102.47735595703125,,,109.6209319
16,1986,5.0,,,,,93.35433197021484,,,,,,,,106.346440521443,,,,,,,,,,132.38616943359375,,,104.091582
17,1986,6.0,,,,,58.49302673339844,,,,,,,,88.2148580799241,,,,,,,,,,115.05229187011719,,,143.1792856
18,1986,7.0,,,,,85.99984741210938,,,,,,,,29.4620338549423,,,,,,,,,,130.82106018066406,,,157.5901109
19,1986,8.0,,,,,91.52786254882812,,,,,,,,66.0389085196096,,,,,,,,,,118.30259704589844,,,128.8229636
20,1986,9.0,,,,,119.69023132324219,,,,,,,,56.9117954096274,,,,,,,,,,125.89421844482422,,,97.67646122
21,1986,10.0,,,,,76.77757263183594,,,,,,,,152.771854879696,,,,,,,,,,91.82046508789062,,,94.72961374
22,1986,11.0,,,,,64.25985717773438,,,,,,,,80.1812030799411,,,,,,,,,,98.32894134521484,,,103.2240438
23,1986,12.0,,,,,78.66561889648438,,,,,,,,77.0973106537895,,,,,,,,,,87.97968292236328,,,129.7491722
24,1987,1.0,,,,,74.68277740478516,,,,69.95834350585938,,,,183.992080959888,,69.19361549387573,,,,,,,,110.43331909179688,,,118.9743565
25,1987,2.0,,,,,67.59733581542969,,,,60.321319580078125,,,,63.3418357912786,,91.55809836354516,,,,,,,,76.96607208251953,,,79.89761095
26,1987,3.0,,,,,36.3046760559082,,,,97.61026763916016,,,,83.9621396846064,,91.49567030548806,,,,,,,,99.05958557128906,,,97.2852674
27,1987,4.0,,,,,70.42708587646484,,,,77.49410247802734,,,,85.7928081407176,,94.53396306895792,,,,,,,,79.53235626220703,,,97.04760533
