Date,IMOEX.ME,XU100.IS,^BSESN,^BVSP,^JKSE,^MXX
2013-01-02,,79642.1015625,19714.240234375,62550.0,4346.345703125,44304.171875
2013-01-03,,80033.296875,19764.779296875,63312.0,4399.12744140625,44370.640625
2013-01-04,,79564.0,19784.080078125,62523.0,4409.88916015625,44562.328125
2013-01-07,,80224.3984375,19691.419921875,61933.0,4392.24853515625,44625.9296875
2013-01-08,,80161.703125,19742.51953125,61128.0,4397.41455078125,44571.19921875
2013-01-09,,81149.1015625,19666.58984375,61579.0,4362.798828125,44862.5390625
2013-01-10,,80837.5,19663.55078125,61678.0,4317.23681640625,44859.80078125
2013-01-11,,81033.5,19663.640625,61497.0,4305.7841796875,44888.12890625
2013-01-14,,81990.0,19906.41015625,62081.0,4382.36767578125,44862.921875
2013-01-15,,82406.1015625,19986.8203125,61728.0,4400.69384765625,44748.05859375
2013-01-16,,84082.1015625,19817.630859375,61787.0,4410.8330078125,44865.30078125
2013-01-17,,84860.296875,19964.029296875,62194.0,4398.25244140625,44943.33984375
2013-01-18,,85004.8984375,20039.0390625,61956.0,4465.35107421875,45212.53125
2013-01-21,,85281.5,20101.8203125,61900.0,4439.84228515625,45223.8515625
2013-01-22,,85646.8984375,19981.5703125,61692.0,4416.41650390625,45320.30078125
2013-01-23,,86341.0,20026.609375,61966.0,4418.595703125,45442.98046875
2013-01-24,,86437.8984375,19923.779296875,61170.0,,45428.69921875
2013-01-25,,84755.1015625,20103.529296875,,4437.46630859375,45575.859375
2013-01-28,,81165.796875,20103.349609375,60027.0,4416.8056640625,45912.51171875
2013-01-29,,82178.296875,19990.900390625,60406.0,4438.89794921875,45907.98046875
2013-01-30,,78982.8984375,20005.0,59337.0,4452.84326171875,45753.1796875
2013-01-31,,78783.5,19894.98046875,59761.0,4453.57080078125,45278.05859375
2013-02-01,,80221.703125,19781.189453125,60351.0,4481.5009765625,45768.48828125
2013-02-04,,80722.703125,19751.189453125,59576.0,4490.43212890625,
2013-02-05,,80309.8984375,19659.8203125,59445.0,4479.30810546875,45688.12109375
2013-02-06,,80054.3984375,19639.720703125,58951.0,4498.84228515625,45570.7109375
2013-02-07,,78149.296875,19580.3203125,58372.0,4503.01416015625,45019.2109375
2013-02-08,,78684.0,19484.76953125,58498.0,4491.13330078125,45089.359375
2013-02-11,,77255.796875,19460.5703125,,4503.11328125,45063.87890625
2013-02-12,,78078.796875,19561.0390625,,4548.1083984375,44873.44140625
2013-02-13,,77943.3984375,19608.080078125,58406.0,4571.43212890625,44096.26953125
2013-02-14,,77580.5,19497.1796875,58077.0,4588.53662109375,43878.28125
2013-02-15,,78081.3984375,19468.150390625,57903.0,4609.64892578125,44152.9609375
2013-02-18,,77907.5,19501.080078125,57614.0,4611.90869140625,44141.921875
2013-02-19,,78274.8984375,19635.720703125,57314.0,4601.92578125,44639.76171875
2013-02-20,,78891.296875,19642.75,56178.0,4634.31396484375,44299.55859375
2013-02-21,,77269.1015625,19325.359375,56155.0,4632.2666015625,44136.6015625
2013-02-22,,75898.703125,19317.009765625,56697.0,4650.98486328125,43875.73046875
2013-02-25,,76670.296875,19331.689453125,56618.0,4695.96728515625,43497.19921875
2013-02-26,,77514.296875,19015.140625,56949.0,4662.892578125,43489.19921875
2013-02-27,,78166.203125,19152.41015625,57274.0,4716.27490234375,43772.890625
2013-02-28,,79333.703125,18861.5390625,57424.0,4795.646484375,44120.98828125
2013-03-01,,79867.5,18918.51953125,56884.0,4811.47021484375,43995.71875
2013-03-04,1464.449951171875,80612.203125,18877.9609375,56499.0,4761.3193359375,43871.30859375
2013-03-05,1486.4200439453125,81051.203125,19143.169921875,55951.0,4751.560546875,44017.12109375
2013-03-06,1491.489990234375,82174.0,19252.609375,57940.0,4824.5400390625,44159.6484375
2013-03-07,1491.3499755859375,81834.703125,19413.5390625,58847.0,4848.15478515625,43968.6015625
2013-03-08,,83541.6015625,19683.23046875,58433.0,4874.35009765625,44322.51171875
2013-03-11,1505.9300537109375,83119.6015625,19646.2109375,58545.0,4854.16796875,44013.30078125
2013-03-12,1499.739990234375,83347.5,19564.919921875,58209.0,,43965.41015625
2013-03-13,1495.8800048828125,82619.0,19362.55078125,57386.0,4835.29541015625,43278.109375
2013-03-14,1502.52001953125,81981.6015625,19570.439453125,57281.0,4786.22509765625,43348.51953125
2013-03-15,1496.5699462890625,83115.5,19427.560546875,56869.0,4819.18115234375,42605.05078125
2013-03-18,1462.56005859375,83378.796875,19293.19921875,56973.0,4802.68359375,
